region,west,east,south,north,VendorID_Count
1284,-73.9778,-73.96668840000001,40.7729306,40.781318799999994,88.40595399188092
1285,-73.9778,-73.96668840000001,40.781318799999994,40.789707,256.1774193548387
1286,-73.9778,-73.96668840000001,40.789707,40.798095200000006,217.75672043010752
1287,-73.9778,-73.96668840000001,40.798095200000006,40.8064834,71.4489247311828
1326,-73.96668840000001,-73.95557679999999,40.705825,40.7142132,22.795148247978435
1327,-73.96668840000001,-73.95557679999999,40.7142132,40.722601399999995,22.75951086956522
1331,-73.96668840000001,-73.95557679999999,40.747766,40.756154200000005,46.004059539918806
1332,-73.96668840000001,-73.95557679999999,40.756154200000005,40.7645424,341.52150537634407
1333,-73.96668840000001,-73.95557679999999,40.7645424,40.7729306,494.15860215053766
1334,-73.96668840000001,-73.95557679999999,40.7729306,40.781318799999994,454.9462365591398
1335,-73.96668840000001,-73.95557679999999,40.781318799999994,40.789707,105.38683127572017
1336,-73.96668840000001,-73.95557679999999,40.789707,40.798095200000006,65.65814266487214
1337,-73.96668840000001,-73.95557679999999,40.798095200000006,40.8064834,77.27284946236558
1338,-73.96668840000001,-73.95557679999999,40.8064834,40.814871600000004,43.55241935483871
1339,-73.96668840000001,-73.95557679999999,40.814871600000004,40.8232598,10.791610284167794
1376,-73.95557679999999,-73.9444652,40.705825,40.7142132,13.746268656716419
1377,-73.95557679999999,-73.9444652,40.7142132,40.722601399999995,9.112426035502958
1378,-73.95557679999999,-73.9444652,40.722601399999995,40.7309896,7.545323741007194
1380,-73.95557679999999,-73.9444652,40.7393778,40.747766,7.4863387978142075
1382,-73.95557679999999,-73.9444652,40.756154200000005,40.7645424,23.36388140161725
1383,-73.95557679999999,-73.9444652,40.7645424,40.7729306,239.79301075268816
1384,-73.95557679999999,-73.9444652,40.7729306,40.781318799999994,416.997311827957
1385,-73.95557679999999,-73.9444652,40.781318799999994,40.789707,231.33467741935485
1386,-73.95557679999999,-73.9444652,40.789707,40.798095200000006,38.149193548387096
1387,-73.95557679999999,-73.9444652,40.798095200000006,40.8064834,28.948924731182796
1388,-73.95557679999999,-73.9444652,40.8064834,40.814871600000004,21.188172043010752
1389,-73.95557679999999,-73.9444652,40.814871600000004,40.8232598,13.96236559139785
1390,-73.95557679999999,-73.9444652,40.8232598,40.831648,14.981182795698924
1426,-73.9444652,-73.93335359999999,40.705825,40.7142132,7.065630397236615
1431,-73.9444652,-73.93335359999999,40.747766,40.756154200000005,17.681451612903224
1434,-73.9444652,-73.93335359999999,40.7729306,40.781318799999994,11.344497607655502
1435,-73.9444652,-73.93335359999999,40.781318799999994,40.789707,8.633288227334235
1436,-73.9444652,-73.93335359999999,40.789707,40.798095200000006,30.623655913978496
1437,-73.9444652,-73.93335359999999,40.798095200000006,40.8064834,30.069986541049797
1438,-73.9444652,-73.93335359999999,40.8064834,40.814871600000004,10.995962314939435
1439,-73.9444652,-73.93335359999999,40.814871600000004,40.8232598,7.323328785811732
1441,-73.9444652,-73.93335359999999,40.831648,40.8400362,5.251388888888889
1442,-73.9444652,-73.93335359999999,40.8400362,40.8484244,7.224209078404401
1475,-73.93335359999999,-73.922242,40.6974368,40.705825,5.663461538461538
1480,-73.93335359999999,-73.922242,40.7393778,40.747766,10.475033738191632
1482,-73.93335359999999,-73.922242,40.756154200000005,40.7645424,11.090296495956874
1483,-73.93335359999999,-73.922242,40.7645424,40.7729306,10.97027027027027
1530,-73.922242,-73.9111304,40.7393778,40.747766,12.1889338731444
1532,-73.922242,-73.9111304,40.756154200000005,40.7645424,7.399441340782123
1533,-73.922242,-73.9111304,40.7645424,40.7729306,9.997282608695652
1580,-73.9111304,-73.9000188,40.7393778,40.747766,5.966226138032305
1630,-73.9000188,-73.8889072,40.7393778,40.747766,5.588064046579331
1683,-73.8889072,-73.87779559999998,40.7645424,40.7729306,5.251724137931035
1684,-73.8889072,-73.87779559999998,40.7729306,40.781318799999994,18.693675889328063
1733,-73.87779559999998,-73.86668399999999,40.7645424,40.7729306,6.371248025276461
1734,-73.87779559999998,-73.86668399999999,40.7729306,40.781318799999994,224.49719101123594
1783,-73.86668399999999,-73.8555724,40.7645424,40.7729306,209.17194570135746
2068,-73.80001440000001,-73.78890279999999,40.6387194,40.6471076,100.1728045325779
2069,-73.80001440000001,-73.78890279999999,40.6471076,40.6554958,12.01531393568147
2118,-73.78890279999999,-73.7777912,40.6387194,40.6471076,146.49059139784947
2119,-73.78890279999999,-73.7777912,40.6471076,40.6554958,39.16691957511381
2168,-73.7777912,-73.7666796,40.6387194,40.6471076,73.15351506456241
